# transaction_id,buyer_id,seller_id,energy_kwh,rate_below_300,rate_above_300,datetime
101,1,5,250.00,0.12,0.10,2023-01-15 09:30
102,2,5,180.50,0.12,0.10,2023-01-15 10:45
103,3,6,350.75,0.11,0.09,2023-01-15 13:20
104,1,7,275.25,0.13,0.11,2023-01-16 08:15
105,4,5,420.80,0.12,0.10,2023-01-16 14:30
106,2,6,195.60,0.11,0.09,2023-01-17 11:25
107,5,7,310.40,0.13,0.11,2023-01-17 16:45
108,1,5,265.30,0.12,0.10,2023-01-18 09:10
109,3,6,380.90,0.11,0.09,2023-01-18 13:50
110,4,7,290.20,0.13,0.11,2023-01-19 10:30
111,2,5,215.60,0.12,0.10,2023-01-19 15:20
112,5,6,330.70,0.11,0.09,2023-01-20 08:40
113,1,7,245.80,0.13,0.11,2023-01-20 12:15
114,3,5,410.30,0.12,0.10,2023-01-21 14:55
115,4,6,185.40,0.11,0.09,2023-01-21 17:30
116,2,7,360.50,0.13,0.11,2023-01-22 09:25
117,4,5,270.60,0.12,0.10,2023-01-22 13:40
118,1,6,320.80,0.11,0.09,2023-01-23 10:10
119,3,7,235.40,0.13,0.11,2023-01-23 15:30
120,4,5,390.70,0.12,0.10,2023-01-24 11:45
121,2,6,210.30,0.11,0.09,2023-01-24 16:20
122,5,7,340.90,0.13,0.11,2023-01-25 08:30
123,1,5,260.50,0.12,0.10,2023-01-25 12:50
124,3,6,370.20,0.11,0.09,2023-01-26 09:15
125,4,7,220.80,0.13,0.11,2023-01-26 14:40
126,2,5,415.60,0.12,0.10,2023-01-27 10:55
127,5,6,175.30,0.11,0.09,2023-01-27 15:10
128,1,7,355.40,0.13,0.11,2023-01-28 08:20
129,3,5,280.70,0.12,0.10,2023-01-28 13:35
130,4,6,325.90,0.11,0.09,2023-01-29 11:05
